Design,Strut Radius (um) ,Center Mass Radius (µm) ,Corner Mass Radius (um) ,Bandgap 1 Width (MHz),Bandgap 1 Center (MHz),Bandgap 2 Width (MHz),Bandgap 2 Center (MHz),Bandgap 3 Width (MHz),Bandgap 3 Center (MHz)
BC Both,5.453730988,7.377916206,8.309034492,0.1158,8.5285,0.023700000000002,8.41705,,
BC Both,5.042689088,6.433023622,4.98706108,0.2495,5.81255,,,,
BC Both,5.917218816,6.12710415,7.874758322,0.2591,6.86875,0.177999999999999,9.0568,,
BC Both,4.720445575,7.295862764,4.238468344,0.0694,2.676,0.1931,5.40545,,
BC Both,4.198361038,8.498213256,4.201134603,0.1705,2.21475,0.0582,4.7233,,
BC Both,5.600798223,9.55542074,7.318613219,0.614000000000001,8.5018,,,,
BC Both,5.239522776,9.702687227,6.376140273,0.659000000000001,7.9632,,,,
BC Both,5.53283934,3.585324599,9.964410544,0.2907,6.42305,,,,
BC Both,4.293403549,2.326782289,9.068115569,0.0966,2.436,0.0643,4.87225,,
BC Both,4.72091905,2.61334708,8.591389505,0.0419,2.68585,0.2053,5.37825,,
BC Both,4.350939767,2.128947724,8.563384286,0.1103,2.43525,0.085900000000001,4.92685,,
BC Both,4.27109833,3.220839926,8.540820691,0.1138,2.3887,0.0542,4.8155,,
BC Both,4.685865662,3.425530986,9.167458681,0.0547,2.65905,0.1999,5.33705,,
BC Both,4.008417768,2.522870385,8.053315117,0.1335,2.22135,,,,
BC Both,4.531269448,3.896391179,9.893225595,0.0415,2.62945,0.1764,5.2525,,
BC Both,4.670159581,4.56582752,8.193882582,0.0626,2.6459,0.198399999999999,5.3187,,
BC Both,4.580494362,5.090874565,8.392002792,0.0777,2.58935,0.1593,5.20675,,
BC Both,4.103782375,7.11304546,7.625099904,0.157,2.228,,,,
BC Both,5.173731167,8.514791038,9.16192393,0.1753,5.97675,0.225700000000001,8.02185,,
BC Both,4.051482229,6.260851348,8.569308213,0.1366,2.2526,,,,
BC Both,4.065743881,6.875416262,9.042099269,0.1322,2.2761,,,,
BC Both,5.713865816,8.361606532,9.972131021,0.2074,6.6407,0.3218,8.7313,,
